# Sprite offsets discovered using exhal validation
# Format: offset size tiles confidence

0x0D0500  # 58115 bytes, 1816 tiles, score=0.825
0x0D0600  # 55084 bytes, 1721 tiles, score=0.825
0x0D0900  # 46014 bytes, 1437 tiles, score=0.825
0x0D0B00  # 42107 bytes, 1315 tiles, score=0.825
0x0D0E00  # 43782 bytes, 1368 tiles, score=0.825
0x0D0F00  # 41935 bytes, 1310 tiles, score=0.825
0x0D1B00  # 59486 bytes, 1858 tiles, score=0.825
0x0D1C00  # 55516 bytes, 1734 tiles, score=0.825
0x0D1E00  # 46959 bytes, 1467 tiles, score=0.825
0x0D4F00  # 53904 bytes, 1684 tiles, score=0.825
0x0D5400  # 50233 bytes, 1569 tiles, score=0.825
0x0D5700  # 59733 bytes, 1866 tiles, score=0.825
0x0D5800  # 50893 bytes, 1590 tiles, score=0.825
0x0D7800  # 43331 bytes, 1354 tiles, score=0.825
0x0D7C00  # 35394 bytes, 1106 tiles, score=0.825
0x0D8F00  # 40395 bytes, 1262 tiles, score=0.825
0x0DBB00  # 51167 bytes, 1598 tiles, score=0.825
0x0DBC00  # 43563 bytes, 1361 tiles, score=0.825
0x0DE600  # 36785 bytes, 1149 tiles, score=0.825
0x0DE700  # 34111 bytes, 1065 tiles, score=0.825
0x0E0000  # 57290 bytes, 1790 tiles, score=0.825
0x0E0500  # 46987 bytes, 1468 tiles, score=0.825
0x0E0E00  # 40851 bytes, 1276 tiles, score=0.825
0x0E1400  # 51611 bytes, 1612 tiles, score=0.825
0x0E1900  # 46977 bytes, 1468 tiles, score=0.825
0x0E1A00  # 40399 bytes, 1262 tiles, score=0.825
0x0E3E00  # 34642 bytes, 1082 tiles, score=0.825
0x0E4300  # 48734 bytes, 1522 tiles, score=0.825
0x0E6400  # 37604 bytes, 1175 tiles, score=0.825
0x0E6D00  # 54904 bytes, 1715 tiles, score=0.825
0x0E8300  # 52964 bytes, 1655 tiles, score=0.825
0x0E8500  # 40065 bytes, 1252 tiles, score=0.825
0x0E9100  # 52156 bytes, 1629 tiles, score=0.825
0x0E9800  # 40189 bytes, 1255 tiles, score=0.825
0x07D300  # 16240 bytes, 507 tiles, score=0.824
0x0CDB00  # 32615 bytes, 1019 tiles, score=0.824
0x08A500  # 16044 bytes, 501 tiles, score=0.822
0x0DD600  # 16002 bytes, 500 tiles, score=0.822
0x0C5500  # 32158 bytes, 1004 tiles, score=0.820
0x07A700  # 15511 bytes, 484 tiles, score=0.818
0x0DAB00  # 15504 bytes, 484 tiles, score=0.818
0x0C8800  # 15403 bytes, 481 tiles, score=0.818
0x0EAC00  # 15220 bytes, 475 tiles, score=0.816
0x0EAC00  # 15220 bytes, 475 tiles, score=0.816
0x0E4700  # 31588 bytes, 987 tiles, score=0.816
0x0E4700  # 31588 bytes, 987 tiles, score=0.816
0x0C0C00  # 31580 bytes, 986 tiles, score=0.816
0x0D5900  # 31161 bytes, 973 tiles, score=0.813
0x088600  # 31096 bytes, 971 tiles, score=0.812
0x08EA00  # 8096 bytes, 253 tiles, score=0.812
0x0D2000  # 30881 bytes, 965 tiles, score=0.811
0x07A800  # 14085 bytes, 440 tiles, score=0.807
0x0E0F00  # 30398 bytes, 949 tiles, score=0.807
0x0E0F00  # 30398 bytes, 949 tiles, score=0.807
0x085000  # 30332 bytes, 947 tiles, score=0.806
0x08E700  # 13875 bytes, 433 tiles, score=0.806
0x0CE100  # 13821 bytes, 431 tiles, score=0.805
0x0BF400  # 13780 bytes, 430 tiles, score=0.805
0x0D1500  # 13749 bytes, 429 tiles, score=0.805
0x07C800  # 13588 bytes, 424 tiles, score=0.804
0x073F00  # 13469 bytes, 420 tiles, score=0.803
0x08BD00  # 29845 bytes, 932 tiles, score=0.803
0x0E8700  # 29658 bytes, 926 tiles, score=0.801
0x0E8700  # 29658 bytes, 926 tiles, score=0.801
0x0C8700  # 29607 bytes, 925 tiles, score=0.801
0x0DBE00  # 29574 bytes, 924 tiles, score=0.801
0x0DF200  # 13173 bytes, 411 tiles, score=0.801
0x0DF200  # 13173 bytes, 411 tiles, score=0.801
0x08E500  # 13154 bytes, 411 tiles, score=0.800
0x072800  # 53434 bytes, 1669 tiles, score=0.800
